fragrance_id,presentation_definition_version,display_order,scene_id,family_id,accord_label,description,disclaimer_id,status
fragrance-quiet-focus-rosemary,presentation-v2,11,quiet-focus,herbal,青く端正なハーブの香調,青々とした葉と端正な輪郭を持つ気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-juniper-berry,presentation-v2,12,quiet-focus,fresh,澄んだ樹木と果実の香調,澄んだ空気と小さな果実を思わせる気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-hinoki,presentation-v2,13,pause,woody,清らかで乾いた木質の香調,乾いた木の質感と静かな森を思わせる気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-neroli,presentation-v2,14,pause,floral,透明感のある花と柑橘の香調,繊細な花と明るい柑橘が重なる気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-rosemary,presentation-v2,15,reset,herbal,青く端正なハーブの香調,青々とした葉と端正な輪郭を持つ気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-lime,presentation-v2,16,reset,citrus,軽快で透明な柑橘の香調,軽快な酸味と透明感を持つ柑橘の気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-patchouli,presentation-v2,17,quiet-focus,earthy,湿り気を含む土と葉の香調,湿った土と葉を思わせる深みのある気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-cypress,presentation-v2,18,quiet-focus,woody,端正で清涼な木質の香調,細身の木立を思わせる端正で清涼な気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-true-lavender,presentation-v2,19,pause,floral,静かな甘みを含む花の香調,静かな甘みと乾いた花を思わせる気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-ho-wood,presentation-v2,20,pause,woody,やさしい甘みの木質の香調,やさしい甘みと滑らかな木質が重なる気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-bergamot,presentation-v2,21,reset,citrus,ほのかな甘みの柑橘の香調,明るい柑橘にほのかな甘みが重なる気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-peppermint,presentation-v2,22,reset,fresh,鋭く澄んだ清涼の香調,ひんやりと澄んだ輪郭を持つ気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-cedarwood,presentation-v2,23,quiet-focus,woody,乾いた深みのある木質の香調,乾いた木の質感を思わせる落ち着いた気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-vetiver,presentation-v2,24,quiet-focus,earthy,根と土を思わせる重厚な香調,乾いた根と土の層を思わせる気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-mandarin,presentation-v2,25,reset,citrus,丸みのある甘い柑橘の香調,丸みのある甘さと明るさを持つ柑橘の気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-hinoki,presentation-v2,26,quiet-focus,woody,清らかで乾いた木質の香調,乾いた木の質感と静かな森を思わせる気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-frankincense,presentation-v2,27,pause,resinous,静かな樹脂と木質の香調,深い樹脂と乾いた木質を思わせる気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-citronella,presentation-v2,28,reset,fresh,青さを含む軽快な香調,青さと明るさが交わる軽快な気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-eucalyptus-radiata,presentation-v2,29,reset,fresh,透明感のある葉の香調,透明感とすっきりした輪郭を持つ葉の気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-chamomile,presentation-v2,30,pause,floral,やわらかな草花の香調,ほのかな甘みを含むやわらかな草花の気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-patchouli,presentation-v2,31,pause,earthy,湿り気を含む土と葉の香調,湿った土と葉を思わせる深みのある気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-roman-chamomile-soft,presentation-v2,32,pause,floral,やさしい余韻を含む草花の香調,やさしい甘みと静かな余韻を含む草花の気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
